primary_type,district,latitude,longitude,date
WEAPONS VIOLATION,6,41.753293471,-87.675653686,2005-05-26 23:11:00 +0000 UTC
THEFT,6,41.755520662,-87.651442085,2009-05-09 17:00:00 +0000 UTC
CRIMINAL DAMAGE,6,41.74991046,-87.651299905,2008-10-28 15:00:00 +0000 UTC
THEFT,6,41.739121482,-87.653429303,2023-03-02 13:40:00 +0000 UTC
BATTERY,6,41.757583114,-87.635689664,2014-12-23 15:45:00 +0000 UTC
BATTERY,6,41.755859312,-87.601656868,2023-06-26 15:15:00 +0000 UTC
THEFT,6,41.756302533,-87.605331512,2015-09-06 18:00:00 +0000 UTC
BATTERY,6,41.730561173,-87.607102309,2005-01-20 19:45:00 +0000 UTC
BATTERY,6,41.729973529,-87.602716366,2009-11-02 03:00:00 +0000 UTC
BURGLARY,6,41.728958138,-87.629537107,2023-06-01 13:25:00 +0000 UTC
BATTERY,7,41.78216944,-87.643445507,2020-04-07 13:55:00 +0000 UTC
BATTERY,7,41.784674568,-87.64612463,2025-05-01 00:56:00 +0000 UTC
THEFT,7,41.780797538,-87.660608047,2017-10-31 12:30:00 +0000 UTC
WEAPONS VIOLATION,7,41.784084688,-87.672816484,2024-07-06 19:09:00 +0000 UTC
DECEPTIVE PRACTICE,7,41.769076028,-87.630253485,2004-02-20 13:00:00 +0000 UTC
NARCOTICS,7,41.778706365,-87.650833553,2002-03-01 11:15:00 +0000 UTC
THEFT,7,41.778551701,-87.664195154,2011-04-28 10:00:00 +0000 UTC
ASSAULT,7,41.762271169,-87.65786564,2005-12-25 22:50:00 +0000 UTC
CRIMINAL DAMAGE,8,41.791293696,-87.797699933,2008-01-24 22:00:00 +0000 UTC
MOTOR VEHICLE THEFT,8,41.77654352,-87.797203098,2011-03-28 07:58:16 +0000 UTC
BATTERY,8,41.793076727,-87.737368193,2007-08-05 02:10:00 +0000 UTC
CRIMINAL DAMAGE,8,41.792936194,-87.749008923,2024-03-21 13:06:00 +0000 UTC
THEFT,8,41.803180697,-87.703832492,2007-07-14 09:25:00 +0000 UTC
CRIMINAL DAMAGE,8,41.810956095,-87.706496471,2004-11-03 15:00:00 +0000 UTC
PROSTITUTION,8,41.807655228,-87.716219383,2011-04-23 05:55:00 +0000 UTC
ASSAULT,8,41.777423514,-87.681328162,2006-04-26 11:55:00 +0000 UTC
ROBBERY,8,41.765344998,-87.695845046,2005-07-21 21:55:00 +0000 UTC
THEFT,8,41.749055972,-87.692601801,2018-04-04 04:30:00 +0000 UTC
MOTOR VEHICLE THEFT,8,41.736026091,-87.689675656,2002-03-06 18:16:00 +0000 UTC
NARCOTICS,9,41.817698056,-87.704354343,2004-03-27 02:58:00 +0000 UTC
DECEPTIVE PRACTICE,9,41.845124638,-87.646447016,2019-07-31 09:00:00 +0000 UTC
CRIMINAL DAMAGE,9,41.834073456,-87.651045597,2014-01-04 14:00:00 +0000 UTC
CRIMINAL DAMAGE,9,41.852831845,-87.633484678,2019-09-03 07:55:00 +0000 UTC
THEFT,9,41.83805499,-87.645458414,2012-10-01 13:10:00 +0000 UTC
HOMICIDE,9,41.807856992,-87.658872511,2010-12-05 03:00:00 +0000 UTC
THEFT,9,41.80171131,-87.644328874,2001-04-14 17:00:00 +0000 UTC
WEAPONS VIOLATION,10,41.852049281,-87.729637935,2022-07-13 17:11:00 +0000 UTC
NARCOTICS,10,41.858542789,-87.71275698,2005-05-23 18:35:23 +0000 UTC
BURGLARY,10,41.840361342,-87.708576605,2005-08-31 22:00:00 +0000 UTC
THEFT,10,41.849941571,-87.697575061,2001-03-03 11:00:00 +0000 UTC
MOTOR VEHICLE THEFT,10,41.844537371,-87.703416247,2025-01-13 07:50:00 +0000 UTC
CRIMINAL DAMAGE,10,41.85123415,-87.701559372,2003-11-22 20:00:00 +0000 UTC
ROBBERY,11,41.89940559,-87.733592597,2018-11-09 07:40:00 +0000 UTC
STALKING,11,41.901660135,-87.721398083,2015-02-16 19:00:00 +0000 UTC
THEFT,11,41.896197125,-87.719999396,2005-04-18 06:00:00 +0000 UTC
CRIMINAL DAMAGE,11,41.884658736,-87.727454476,2020-06-06 00:29:00 +0000 UTC
BATTERY,11,41.894674537,-87.711411964,2023-08-04 03:00:00 +0000 UTC
THEFT,11,41.895638022,-87.708930698,2001-07-12 11:30:00 +0000 UTC
BATTERY,11,41.892582378,-87.71989074,2022-01-13 15:43:00 +0000 UTC
BATTERY,11,41.875136518,-87.735897791,2009-07-03 04:15:00 +0000 UTC
NARCOTICS,11,41.86618217,-87.72443126,2014-08-31 15:51:00 +0000 UTC
NARCOTICS,11,41.867101385,-87.723376202,2007-01-20 10:56:00 +0000 UTC
NARCOTICS,11,41.86632703,-87.721738817,2001-01-04 14:10:00 +0000 UTC
NARCOTICS,11,41.866225191,-87.721167065,2007-11-11 10:45:00 +0000 UTC
NARCOTICS,11,41.870863428,-87.71408442,2016-08-14 23:10:00 +0000 UTC
DECEPTIVE PRACTICE,11,41.866358918,-87.709806763,2018-03-07 15:30:00 +0000 UTC
CRIMINAL DAMAGE,11,41.868570608,-87.694791137,2010-01-28 10:00:00 +0000 UTC
BATTERY,12,41.876149624,-87.672372396,2004-06-09 10:45:00 +0000 UTC
PROSTITUTION,12,41.88117946,-87.685308968,2010-05-18 21:40:00 +0000 UTC
NARCOTICS,12,41.876198869,-87.678092658,2006-05-15 00:40:00 +0000 UTC
ASSAULT,12,41.879045606,-87.657889444,2009-03-03 07:10:00 +0000 UTC
DECEPTIVE PRACTICE,12,,,2022-10-01 19:00:00 +0000 UTC
THEFT,12,41.865237011,-87.646859558,2003-07-16 01:00:00 +0000 UTC
THEFT,12,41.893820523,-87.64768848,2005-11-19 22:00:00 +0000 UTC
DECEPTIVE PRACTICE,12,41.884286154,-87.705100826,2012-08-09 07:46:00 +0000 UTC
ASSAULT,14,41.921870229,-87.716049707,2014-05-26 15:00:00 +0000 UTC
THEFT,14,41.912831453,-87.715163205,2001-11-07 23:00:00 +0000 UTC
BATTERY,14,41.903571107,-87.682158539,2024-11-01 11:03:00 +0000 UTC
CRIMINAL DAMAGE,15,41.883324641,-87.766617272,2002-12-19 21:00:00 +0000 UTC
CRIMINAL TRESPASS,15,41.876650547,-87.755587101,2010-12-08 16:20:00 +0000 UTC
ROBBERY,15,41.892033656,-87.754269533,2006-05-19 13:56:53 +0000 UTC
DECEPTIVE PRACTICE,16,41.992661466,-87.78442745,2004-11-19 13:26:00 +0000 UTC
BATTERY,16,41.972303235,-87.774963839,2008-02-17 13:48:00 +0000 UTC
NARCOTICS,16,41.968418976,-87.787264791,2004-10-16 01:45:00 +0000 UTC
CRIMINAL DAMAGE,16,41.969844207,-87.748465003,2004-05-22 17:00:00 +0000 UTC
BATTERY,16,41.947603662,-87.829168433,2022-06-01 13:30:00 +0000 UTC
ASSAULT,17,41.966490625,-87.721579648,2020-05-04 18:00:00 +0000 UTC
ASSAULT,17,41.958376903,-87.719179238,2004-03-22 15:30:00 +0000 UTC
BATTERY,17,41.951797683,-87.74727349,2019-01-14 22:06:00 +0000 UTC
CRIMINAL DAMAGE,18,41.915762217,-87.656275267,2016-10-27 03:06:00 +0000 UTC
BATTERY,18,41.901572414,-87.634392628,2002-04-09 15:00:00 +0000 UTC
ROBBERY,18,41.891583724,-87.634446444,2022-08-09 23:27:00 +0000 UTC
OTHER OFFENSE,19,41.968716631,-87.673593235,2001-12-12 11:20:00 +0000 UTC
THEFT,19,41.943296966,-87.672153501,2006-05-26 22:00:00 +0000 UTC
THEFT,19,41.94670237,-87.656117076,2013-06-29 02:00:00 +0000 UTC
THEFT,19,41.938750819,-87.657715502,2009-08-03 07:30:00 +0000 UTC
THEFT,19,41.934918893,-87.651511726,2024-05-15 20:25:00 +0000 UTC
CRIMINAL DAMAGE,19,41.927911512,-87.645298716,2010-03-12 04:00:00 +0000 UTC
THEFT,19,41.932812132,-87.64429052,2018-12-30 16:00:00 +0000 UTC
THEFT,20,41.969110786,-87.653199102,2023-02-25 13:15:00 +0000 UTC
CRIMINAL TRESPASS,20,41.969286674,-87.68162941,2003-11-24 20:05:00 +0000 UTC
CRIMINAL TRESPASS,1,41.843922218,-87.6269207,2009-02-13 20:30:00 +0000 UTC
NARCOTICS,1,41.840859176,-87.626847966,2007-03-04 19:30:00 +0000 UTC
NARCOTICS,1,41.844112707,-87.628445336,2005-01-07 17:50:18 +0000 UTC
MOTOR VEHICLE THEFT,2,41.800913824,-87.597598015,2002-06-01 12:30:00 +0000 UTC
BURGLARY,22,41.698634537,-87.681373962,2016-05-04 20:00:00 +0000 UTC
BURGLARY,22,41.71652469,-87.67222674,2004-08-08 15:15:51 +0000 UTC
CRIMINAL DAMAGE,22,41.702861881,-87.636658683,2004-03-23 00:00:00 +0000 UTC
THEFT,22,41.696778612,-87.653304247,2010-08-22 21:00:00 +0000 UTC
BATTERY,19,41.962685154,-87.655738273,2006-08-10 22:00:00 +0000 UTC
BURGLARY,24,41.998866304,-87.680168821,2019-01-07 10:00:00 +0000 UTC
MOTOR VEHICLE THEFT,24,41.998377953,-87.685029943,2015-02-19 18:00:00 +0000 UTC
BATTERY,24,42.019382941,-87.672690712,2024-07-09 17:51:00 +0000 UTC
BATTERY,24,42.022257277,-87.669565859,2020-05-18 20:00:00 +0000 UTC
BATTERY,24,42.008612529,-87.661899888,2013-04-19 21:05:00 +0000 UTC
DECEPTIVE PRACTICE,25,41.935104407,-87.75263785,2020-12-22 09:00:00 +0000 UTC
NARCOTICS,25,41.919245618,-87.746182538,2020-07-16 13:29:00 +0000 UTC
BATTERY,25,41.935509687,-87.720784258,2012-04-08 02:00:00 +0000 UTC
MOTOR VEHICLE THEFT,25,41.932807157,-87.720883619,2003-03-07 03:00:00 +0000 UTC
MOTOR VEHICLE THEFT,25,41.938225967,-87.719662986,2010-04-09 12:00:00 +0000 UTC
MOTOR VEHICLE THEFT,25,41.911812766,-87.717098164,2022-08-06 21:30:00 +0000 UTC
THEFT,1,41.883646768,-87.637055812,2004-05-14 10:55:00 +0000 UTC
THEFT,1,41.882457198,-87.627847776,2017-12-14 17:30:00 +0000 UTC
THEFT,1,41.883490965,-87.641243905,2017-07-28 14:52:00 +0000 UTC
ASSAULT,1,41.873968788,-87.625987769,2018-05-25 23:00:00 +0000 UTC
CRIMINAL TRESPASS,1,41.874363279,-87.643013039,2004-05-01 16:49:43 +0000 UTC
BATTERY,2,41.830495564,-87.6217516,2009-06-24 15:31:33 +0000 UTC
BATTERY,2,41.836085835,-87.611668085,2013-10-15 00:48:00 +0000 UTC
NARCOTICS,2,41.828220982,-87.628942582,2002-05-31 11:03:32 +0000 UTC
OTHER OFFENSE,2,41.814198461,-87.624595221,2021-08-26 15:40:00 +0000 UTC
BURGLARY,2,41.805090455,-87.610105105,2003-09-16 21:19:41 +0000 UTC
BATTERY,2,41.80688427,-87.616522096,2002-11-23 16:25:57 +0000 UTC
MOTOR VEHICLE THEFT,2,41.808695228,-87.624439471,2006-03-27 08:00:00 +0000 UTC
WEAPONS VIOLATION,3,41.780043438,-87.624645136,2025-03-24 16:29:00 +0000 UTC
NARCOTICS,3,41.779365702,-87.613187975,2008-08-25 21:35:00 +0000 UTC
MOTOR VEHICLE THEFT,3,41.781711555,-87.609612588,2023-06-09 19:00:00 +0000 UTC
CRIMINAL TRESPASS,3,41.783506135,-87.604374881,2018-01-06 15:03:00 +0000 UTC
BURGLARY,3,41.763948563,-87.593369017,2014-09-30 03:45:00 +0000 UTC
ASSAULT,3,41.770802411,-87.58257866,2024-07-29 00:20:00 +0000 UTC
WEAPONS VIOLATION,3,41.763823209,-87.565483757,2017-04-01 12:50:00 +0000 UTC
BATTERY,4,41.740206916,-87.566065625,2007-08-29 20:00:00 +0000 UTC
BURGLARY,4,41.736762727,-87.59666359,2005-05-04 05:30:00 +0000 UTC
ASSAULT,4,41.729083258,-87.586746398,2025-04-20 10:00:00 +0000 UTC
THEFT,4,41.76015578,-87.556752911,2017-08-01 15:00:00 +0000 UTC
BATTERY,4,41.747609503,-87.547966374,2023-09-17 05:05:00 +0000 UTC
NARCOTICS,4,41.751751179,-87.564682143,2011-10-05 22:55:00 +0000 UTC
WEAPONS VIOLATION,4,41.742317999,-87.556370619,2007-10-01 15:22:43 +0000 UTC
THEFT,5,41.707095328,-87.628834415,2019-05-18 19:38:00 +0000 UTC
CRIMINAL DAMAGE,5,41.700874918,-87.607385165,2014-05-08 11:00:00 +0000 UTC
MOTOR VEHICLE THEFT,5,41.682043933,-87.644490437,2020-01-20 08:30:00 +0000 UTC
ASSAULT,5,41.655615358,-87.613938805,2022-11-22 21:15:00 +0000 UTC
BURGLARY,6,41.749725799,-87.667067181,2003-05-19 15:00:00 +0000 UTC
OTHER OFFENSE,6,41.747627622,-87.66822488,2021-09-06 03:11:00 +0000 UTC
ASSAULT,6,41.751898652,-87.650135449,2020-11-23 13:00:00 +0000 UTC
THEFT,6,41.755056817,-87.651432335,2015-06-30 01:00:00 +0000 UTC
OTHER OFFENSE,6,41.751309313,-87.65861091,2010-12-10 19:55:00 +0000 UTC
BATTERY,6,41.757113993,-87.642984565,2024-10-10 01:30:00 +0000 UTC
NARCOTICS,6,41.751928332,-87.644077264,2009-02-24 08:35:00 +0000 UTC
THEFT,6,41.751001727,-87.627958744,2001-01-22 13:58:00 +0000 UTC
BATTERY,6,41.750628547,-87.612490478,2015-04-24 01:25:00 +0000 UTC
BATTERY,6,41.747222066,-87.600219523,2006-10-28 20:00:00 +0000 UTC
NARCOTICS,6,41.748945307,-87.601482527,2011-05-19 12:05:00 +0000 UTC
CRIMINAL DAMAGE,6,41.727428761,-87.6108376,2013-08-24 21:36:00 +0000 UTC
WEAPONS VIOLATION,6,41.727247844,-87.621866363,2020-07-28 21:36:00 +0000 UTC
NARCOTICS,6,41.723048035,-87.62748798,2004-09-27 12:37:48 +0000 UTC
CRIMINAL DAMAGE,7,41.791457111,-87.634079356,2013-10-07 01:00:00 +0000 UTC
ROBBERY,7,41.78453406,-87.653411725,2007-05-31 13:40:00 +0000 UTC
BATTERY,7,41.782363007,-87.653357665,2004-05-18 00:22:00 +0000 UTC
NARCOTICS,7,41.789381654,-87.657331763,2001-11-16 10:45:00 +0000 UTC
NARCOTICS,7,41.789831775,-87.657341701,2001-08-10 18:30:00 +0000 UTC
THEFT,7,41.769449202,-87.659088027,2010-08-17 16:40:00 +0000 UTC
BURGLARY,7,41.769634728,-87.66030679,2010-08-22 21:30:00 +0000 UTC
THEFT,7,41.778479922,-87.670274603,2010-11-30 15:00:00 +0000 UTC
WEAPONS VIOLATION,7,41.77685776,-87.670225321,2023-01-19 20:32:00 +0000 UTC
BATTERY,7,41.76477078,-87.643016122,2006-12-24 05:11:00 +0000 UTC
DECEPTIVE PRACTICE,7,41.76820326,-87.634738833,2007-10-22 08:00:00 +0000 UTC
CRIMINAL DAMAGE,8,41.8112053,-87.748545797,2016-05-06 17:30:00 +0000 UTC
BATTERY,8,41.79639731,-87.723251281,2002-06-14 19:00:00 +0000 UTC
MOTOR VEHICLE THEFT,8,41.80387019,-87.716094325,2004-08-22 18:55:00 +0000 UTC
THEFT,8,41.778923367,-87.70624024,2023-05-05 20:00:00 +0000 UTC
NARCOTICS,8,41.791224615,-87.685218371,2009-05-26 19:26:18 +0000 UTC
THEFT,8,41.776832515,-87.683577859,2025-04-22 14:28:00 +0000 UTC
MOTOR VEHICLE THEFT,8,41.778453277,-87.684837367,2017-05-30 22:00:00 +0000 UTC
CRIMINAL DAMAGE,8,41.773537814,-87.691603008,2001-01-06 08:00:00 +0000 UTC
CRIMINAL DAMAGE,8,41.767298817,-87.689425475,2017-06-19 22:30:00 +0000 UTC
CRIMINAL TRESPASS,8,41.763876069,-87.694232123,2004-05-01 23:30:00 +0000 UTC
NARCOTICS,8,41.774976816,-87.695724012,2011-11-19 21:25:00 +0000 UTC
DECEPTIVE PRACTICE,8,41.754592961,-87.741528537,2010-12-30 16:00:00 +0000 UTC
ASSAULT,9,41.793529056,-87.702834131,2004-03-23 18:05:34 +0000 UTC
THEFT,9,41.808389342,-87.687517615,2002-09-23 13:00:00 +0000 UTC
THEFT,9,41.830890037,-87.635503335,2012-08-10 22:00:00 +0000 UTC
ASSAULT,9,41.817570192,-87.665183168,2008-03-30 23:03:00 +0000 UTC
CRIM SEXUAL ASSAULT,9,41.80766116,-87.689303885,2011-10-14 15:00:00 +0000 UTC
PUBLIC PEACE VIOLATION,9,41.80387897,-87.668490687,2003-07-09 18:55:00 +0000 UTC
BATTERY,9,41.800863342,-87.664766276,2016-04-24 15:30:00 +0000 UTC
MOTOR VEHICLE THEFT,9,41.805992749,-87.656390587,2005-09-09 11:30:00 +0000 UTC
WEAPONS VIOLATION,9,41.802678246,-87.6611641,2002-11-22 12:48:00 +0000 UTC
NARCOTICS,9,41.802691455,-87.658735967,2006-05-03 15:01:25 +0000 UTC
OTHER OFFENSE,9,41.813550578,-87.639389213,2007-07-06 10:10:00 +0000 UTC
INTERFERENCE WITH PUBLIC OFFICER,9,41.794334214,-87.643337071,2018-08-20 20:50:00 +0000 UTC
NARCOTICS,10,41.861628294,-87.716500973,2004-11-02 23:46:30 +0000 UTC
MOTOR VEHICLE THEFT,10,41.859747193,-87.735985995,2008-06-10 05:30:00 +0000 UTC
OTHER OFFENSE,10,41.854356979,-87.728551754,2004-12-05 17:30:00 +0000 UTC
BURGLARY,10,41.858199715,-87.712749285,2002-06-10 08:00:00 +0000 UTC
BURGLARY,10,41.858372615,-87.712751284,2009-10-16 12:00:00 +0000 UTC
BATTERY,10,41.851794306,-87.703117482,2009-03-20 02:00:00 +0000 UTC
BATTERY,10,41.863492851,-87.703076036,2022-07-05 08:16:00 +0000 UTC
THEFT,10,41.84763752,-87.708784753,2017-07-20 18:50:00 +0000 UTC
OTHER OFFENSE,10,41.843391629,-87.731825904,2013-05-22 01:30:00 +0000 UTC
BURGLARY,10,41.839970005,-87.709787776,2005-05-02 12:00:00 +0000 UTC
OTHER OFFENSE,10,41.842131444,-87.700067188,2012-01-24 09:30:00 +0000 UTC
MOTOR VEHICLE THEFT,10,41.844785626,-87.680545592,2004-05-02 16:00:00 +0000 UTC
CRIMINAL DAMAGE,11,41.886530554,-87.74438154,2013-03-17 00:30:00 +0000 UTC
BURGLARY,11,41.883910017,-87.730671152,2005-08-23 00:55:00 +0000 UTC
BATTERY,11,41.878854177,-87.726844673,2006-07-17 01:00:00 +0000 UTC
NARCOTICS,11,41.878861855,-87.726220357,2023-05-04 20:07:00 +0000 UTC
CRIMINAL DAMAGE,11,41.899133243,-87.71331549,2009-11-14 23:00:00 +0000 UTC
NARCOTICS,11,41.888848223,-87.724675133,2005-08-08 13:25:00 +0000 UTC
ASSAULT,11,41.877427678,-87.697016296,2005-09-08 15:30:00 +0000 UTC
THEFT,11,41.881021315,-87.701747089,2003-08-06 18:40:00 +0000 UTC
NARCOTICS,11,41.87965724,-87.696248748,2011-06-21 11:13:00 +0000 UTC
NARCOTICS,11,41.878340246,-87.709793122,2006-12-24 20:12:42 +0000 UTC
THEFT,11,41.87173019,-87.718603156,2016-03-02 06:00:00 +0000 UTC
CRIMINAL DAMAGE,11,41.875415152,-87.713900954,2002-07-11 09:30:00 +0000 UTC
THEFT,11,41.867652634,-87.704485374,2023-06-26 22:30:00 +0000 UTC
BATTERY,12,41.90316852,-87.678441462,2018-06-03 01:25:00 +0000 UTC
DECEPTIVE PRACTICE,12,41.887619596,-87.64282627,2023-12-02 03:18:00 +0000 UTC
CRIMINAL DAMAGE,12,41.871798364,-87.676393586,2018-06-10 01:00:00 +0000 UTC
ROBBERY,12,41.881150359,-87.687450127,2006-03-14 18:00:00 +0000 UTC
OTHER OFFENSE,12,41.883928334,-87.680312555,2005-07-04 08:30:00 +0000 UTC
BURGLARY,12,41.885255965,-87.6720582,2001-06-27 00:50:08 +0000 UTC
THEFT,14,41.93203098,-87.707730613,2012-03-30 00:57:00 +0000 UTC
CRIMINAL DAMAGE,14,41.912943486,-87.70346051,2017-03-18 08:00:00 +0000 UTC
THEFT,14,41.918085489,-87.694889315,2010-03-21 00:15:00 +0000 UTC
ASSAULT,14,41.917860934,-87.672180977,2015-03-08 19:38:00 +0000 UTC
CRIMINAL DAMAGE,14,41.919264174,-87.67857086,2011-06-06 17:00:00 +0000 UTC
THEFT,14,41.907050205,-87.663450096,2023-09-13 11:00:00 +0000 UTC
THEFT,14,41.905529073,-87.667554656,2022-03-15 15:35:00 +0000 UTC
OTHER OFFENSE,14,41.913390496,-87.672642278,2002-02-17 22:00:00 +0000 UTC
CRIMINAL TRESPASS,15,41.873932483,-87.755883289,2002-05-07 11:25:00 +0000 UTC
OTHER OFFENSE,15,41.88027737,-87.762505732,2018-07-08 10:27:00 +0000 UTC
NARCOTICS,15,41.878284697,-87.749337338,2005-12-09 13:04:00 +0000 UTC
NARCOTICS,15,41.869349705,-87.745629701,2003-10-08 13:54:00 +0000 UTC
THEFT,16,41.973431952,-87.754088104,2006-08-21 23:00:00 +0000 UTC
CRIMINAL DAMAGE,16,41.960139843,-87.784419867,2001-05-17 20:15:00 +0000 UTC
BURGLARY,17,41.979402064,-87.710345464,2011-11-20 11:35:00 +0000 UTC
BATTERY,17,41.964744922,-87.714849143,2005-03-04 14:30:00 +0000 UTC
MOTOR VEHICLE THEFT,17,41.954591484,-87.715384807,2012-02-23 12:30:00 +0000 UTC
THEFT,17,41.957664182,-87.704619614,2001-05-11 18:00:00 +0000 UTC
CRIMINAL DAMAGE,17,41.950196638,-87.702020466,2001-01-15 15:00:00 +0000 UTC
THEFT,18,41.916105224,-87.654412521,2005-07-11 06:30:00 +0000 UTC
BURGLARY,18,41.915024546,-87.634830051,2003-05-03 00:30:00 +0000 UTC
DECEPTIVE PRACTICE,18,41.909626348,-87.639760338,2011-05-23 13:30:00 +0000 UTC
CRIMINAL DAMAGE,18,41.889760548,-87.627998797,2023-09-13 03:14:00 +0000 UTC
DECEPTIVE PRACTICE,18,41.896888586,-87.628203192,2011-04-30 19:25:00 +0000 UTC
CRIMINAL DAMAGE,19,41.958636734,-87.675910529,2015-12-11 06:00:00 +0000 UTC
BATTERY,19,41.960874623,-87.656312641,2013-09-05 03:30:00 +0000 UTC
BURGLARY,19,41.962282217,-87.678998341,2004-07-02 19:00:00 +0000 UTC
THEFT,19,41.948790417,-87.670644704,2010-09-15 09:00:00 +0000 UTC
DECEPTIVE PRACTICE,19,,,2017-10-26 16:00:00 +0000 UTC
CRIMINAL DAMAGE,19,41.944283484,-87.670007685,2006-08-24 01:00:00 +0000 UTC
BURGLARY,19,41.93512615,-87.639384889,2014-07-30 03:30:00 +0000 UTC
BATTERY,19,41.931549654,-87.641985159,2021-06-10 01:10:00 +0000 UTC
CRIMINAL DAMAGE,20,41.989070545,-87.69448947,2003-07-16 00:00:00 +0000 UTC
BURGLARY,22,41.708996827,-87.689106675,2009-09-18 09:00:00 +0000 UTC
CRIMINAL DAMAGE,22,41.68139614,-87.708828073,2005-09-02 07:30:00 +0000 UTC
BURGLARY,22,41.727955267,-87.662837464,2004-02-26 11:00:00 +0000 UTC
MOTOR VEHICLE THEFT,22,41.728331299,-87.667094127,2001-08-01 22:00:00 +0000 UTC
BATTERY,22,41.73139325,-87.651997736,2004-10-14 05:00:00 +0000 UTC
THEFT,19,41.965380546,-87.659099891,2005-07-23 10:40:00 +0000 UTC
THEFT,19,41.964332396,-87.656790803,2006-08-08 18:00:00 +0000 UTC
MOTOR VEHICLE THEFT,19,41.965911528,-87.65886264,2009-03-17 19:45:00 +0000 UTC
THEFT,19,,,2005-12-13 20:30:00 +0000 UTC
OTHER OFFENSE,19,41.959670047,-87.649850803,2006-08-07 16:30:00 +0000 UTC
THEFT,24,42.012259884,-87.691214368,2013-09-28 16:45:00 +0000 UTC
BATTERY,24,42.001989214,-87.699757487,2014-06-11 17:25:00 +0000 UTC
CRIMINAL DAMAGE,24,41.99552774,-87.676516883,2011-07-26 00:01:00 +0000 UTC
BATTERY,24,42.02252504,-87.672216552,2019-10-22 17:50:00 +0000 UTC
CRIMINAL TRESPASS,24,42.021178767,-87.672410829,2007-03-21 23:39:34 +0000 UTC
NARCOTICS,24,42.020790333,-87.67072197,2002-06-05 12:33:19 +0000 UTC
